Year	Month	Day	ARROW_obs
1929	1	1	7207
1929	1	2	8627
1929	1	3	7509
1929	1	4	6276
1929	1	5	6902
1929	1	6	7624
1929	1	7	8066
1929	1	8	8327
1929	1	9	6845
1929	1	10	7131
1929	1	11	7526
1929	1	12	7228
1929	1	13	7938
1929	1	14	7308
1929	1	15	6727
1929	1	16	7138
1929	1	17	8051
1929	1	18	5170
1929	1	19	4746
1929	1	20	5320
1929	1	21	5641
1929	1	22	2194
1929	1	23	3237
1929	1	24	6770
1929	1	25	6021
1929	1	26	5887
1929	1	27	4609
1929	1	28	3819
1929	1	29	6371
1929	1	30	5706
1929	1	31	4324
1929	2	1	6172
1929	2	2	6651
1929	2	3	6529
1929	2	4	4977
1929	2	5	5388
1929	2	6	5963
1929	2	7	6210
1929	2	8	4800
1929	2	9	4717
1929	2	10	5805
1929	2	11	5221
1929	2	12	5421
1929	2	13	5235
1929	2	14	6565
1929	2	15	5013
1929	2	16	5562
1929	2	17	5129
1929	2	18	4293
1929	2	19	5292
1929	2	20	4059
1929	2	21	4435
1929	2	22	5328
1929	2	23	4904
1929	2	24	4904
1929	2	25	4445
1929	2	26	4515
1929	2	27	4515
1929	2	28	4551
1929	3	1	5814
1929	3	2	4209
1929	3	3	3447
1929	3	4	4304
1929	3	5	4375
1929	3	6	6068
1929	3	7	4459
1929	3	8	4963
1929	3	9	6996
1929	3	10	5059
1929	3	11	6587
1929	3	12	6681
1929	3	13	5717
1929	3	14	5293
1929	3	15	5239
1929	3	16	5532
1929	3	17	5637
1929	3	18	5842
1929	3	19	7157
1929	3	20	8178
1929	3	21	7101
1929	3	22	7304
1929	3	23	8589
1929	3	24	7321
1929	3	25	8116
1929	3	26	9136
1929	3	27	8975
1929	3	28	8521
1929	3	29	8928
1929	3	30	8908
1929	3	31	8742
1929	4	1	8934
1929	4	2	8263
1929	4	3	7444
1929	4	4	7408
1929	4	5	7626
1929	4	6	7615
1929	4	7	6939
1929	4	8	7621
1929	4	9	7793
1929	4	10	6144
1929	4	11	6342
1929	4	12	7585
1929	4	13	9125
1929	4	14	9204
1929	4	15	9014
1929	4	16	7777
1929	4	17	8424
1929	4	18	8360
1929	4	19	9968
1929	4	20	11097
1929	4	21	10687
1929	4	22	11493
1929	4	23	13411
1929	4	24	15598
1929	4	25	16166
1929	4	26	18899
1929	4	27	21441
1929	4	28	25330
1929	4	29	29288
1929	4	30	27308
1929	5	1	24653
1929	5	2	28374
1929	5	3	31537
1929	5	4	30410
1929	5	5	26849
1929	5	6	26719
1929	5	7	25850
1929	5	8	24560
1929	5	9	24909
1929	5	10	28044
1929	5	11	26848
1929	5	12	31473
1929	5	13	40512
1929	5	14	42432
1929	5	15	39728
1929	5	16	42983
1929	5	17	39808
1929	5	18	39351
1929	5	19	42959
1929	5	20	53464
1929	5	21	68903
1929	5	22	73903
1929	5	23	117141
1929	5	24	120677
1929	5	25	99319
