year	month	day	ARROW_sim
1979	1	1	0.17000908
1979	1	2	8.9951105
1979	1	3	249.73015
1979	1	4	3683.928
1979	1	5	17025.857
1979	1	6	43873.855
1979	1	7	81019.164
1979	1	8	116930.03
1979	1	9	134246.28
1979	1	10	122655.25
1979	1	11	90952.047
1979	1	12	56060.996
1979	1	13	30158.441
1979	1	14	16385.752
1979	1	15	10174.291
1979	1	16	7831.2666
1979	1	17	6476.4126
1979	1	18	4955.9214
1979	1	19	3238.6328
1979	1	20	1794.7906
1979	1	21	997.55322
1979	1	22	693.52545
1979	1	23	672.14905
1979	1	24	672.14905
1979	1	25	672.14905
1979	1	26	672.14905
1979	1	27	672.14905
1979	1	28	672.14905
1979	1	29	672.14905
1979	1	30	672.14905
1979	1	31	672.14905
1979	2	1	672.14905
1979	2	2	672.14905
1979	2	3	672.14905
1979	2	4	672.14905
1979	2	5	672.14905
1979	2	6	672.14905
1979	2	7	672.14905
1979	2	8	672.14905
1979	2	9	672.14905
1979	2	10	672.14905
1979	2	11	672.14954
1979	2	12	672.22559
1979	2	13	675.13824
1979	2	14	713.76672
1979	2	15	854.79596
1979	2	16	890.50677
1979	2	17	800.82495
1979	2	18	754.35364
1979	2	19	714.27899
1979	2	20	695.88824
1979	2	21	685.86121
1979	2	22	683.28204
1979	2	23	681.3551
1979	2	24	680.66675
1979	2	25	679.31555
1979	2	26	679.10846
1979	2	27	738.9267
1979	2	28	903.44141
1979	3	1	1025.2
1979	3	2	975.06464
1979	3	3	871.12372
1979	3	4	792.38068
1979	3	5	735.93134
1979	3	6	755.13196
1979	3	7	1159.1827
1979	3	8	1823.2677
1979	3	9	2094.4028
1979	3	10	1851.4336
1979	3	11	1481.7321
1979	3	12	1216.6774
1979	3	13	1028.5118
1979	3	14	999.97754
1979	3	15	1018.5551
1979	3	16	961.68616
1979	3	17	900.90704
1979	3	18	861.19257
1979	3	19	858.1286
1979	3	20	879.13171
1979	3	21	937.09503
1979	3	22	978.47546
1979	3	23	1015.513
1979	3	24	1130.1483
1979	3	25	1354.4528
1979	3	26	1584.6437
1979	3	27	1583.2803
1979	3	28	1391.9236
1979	3	29	1215.6157
1979	3	30	1040.4464
1979	3	31	890.69525
1979	4	1	835.56543
1979	4	2	816.09772
1979	4	3	800.4516
1979	4	4	784.81989
1979	4	5	787.44946
1979	4	6	1036.9982
1979	4	7	1625.8043
1979	4	8	2370.8601
1979	4	9	2694.3005
1979	4	10	2747.6033
1979	4	11	2951.3354
1979	4	12	3103.5842
1979	4	13	3093.4392
1979	4	14	2995.9878
1979	4	15	3283.4114
1979	4	16	3523.4045
1979	4	17	3637.9016
1979	4	18	4721.3506
1979	4	19	6504.9116
1979	4	20	7499.9536
1979	4	21	7141.3481
1979	4	22	6170.8442
1979	4	23	5552.3931
1979	4	24	5558.3345
1979	4	25	6289.4883
1979	4	26	7949.5767
1979	4	27	10092.153
1979	4	28	13473.536
1979	4	29	18745.336
1979	4	30	25360.875
1979	5	1	33473.832
1979	5	2	42369.906
1979	5	3	49999.375
1979	5	4	55412.426
1979	5	5	54894.629
1979	5	6	51847.328
1979	5	7	48603.539
1979	5	8	41445.828
1979	5	9	35553.367
1979	5	10	34430.164
1979	5	11	35474.328
1979	5	12	34815.969
1979	5	13	33012.363
1979	5	14	31253.879
1979	5	15	30061.695
1979	5	16	30859.334
1979	5	17	32896.363
1979	5	18	35671.973
1979	5	19	35929.27
1979	5	20	34083.195
1979	5	21	31535.445
1979	5	22	27617.453
1979	5	23	25384.77
1979	5	24	26967.459
1979	5	25	31850.633
1979	5	26	38699.051
1979	5	27	46274.613
1979	5	28	53186.137
1979	5	29	56990.246
1979	5	30	53572
1979	5	31	48077.609
1979	6	1	44724.656
1979	6	2	42484.781
1979	6	3	44268.742
1979	6	4	50022.695
1979	6	5	57332.227
1979	6	6	64288.539
1979	6	7	70587.188
1979	6	8	74060.078
1979	6	9	72997.922
1979	6	10	70250.703
1979	6	11	66685.391
1979	6	12	62796.094
1979	6	13	60935.82
1979	6	14	61951.066
1979	6	15	64926.32
1979	6	16	66242.977
1979	6	17	66369.211
1979	6	18	65462.008
1979	6	19	60804.063
1979	6	20	55523.25
1979	6	21	54119.988
1979	6	22	56617.461
1979	6	23	58593.473
1979	6	24	58306.418
1979	6	25	56605.578
1979	6	26	53309.945
1979	6	27	49225.328
1979	6	28	45700.047
1979	6	29	43399.52
1979	6	30	41968.188
1979	7	1	41533.125
1979	7	2	42172.227
1979	7	3	43309.75
1979	7	4	43904.684
